Test NFA, number of states = 15 propogating length = 225
experiment No = 8870, UNSAT, testing length = 225
experiment No = 8871, UNSAT, testing length = 225
experiment No = 8872, UNSAT, testing length = 225
experiment No = 8873, UNSAT, testing length = 225
experiment No = 8874, UNSAT, testing length = 225
experiment No = 8875, UNSAT, testing length = 225
experiment No = 8876, UNSAT, testing length = 225
experiment No = 8877, UNSAT, testing length = 225
experiment No = 8878, UNSAT, testing length = 225
experiment No = 8879, UNSAT, testing length = 225
experiment No = 8880, UNSAT, testing length = 225
experiment No = 8881, UNSAT, testing length = 225
experiment No = 8882, UNSAT, testing length = 225
experiment No = 8883, UNSAT, testing length = 225
experiment No = 8884, UNSAT, testing length = 225
experiment No = 8885, UNSAT, testing length = 225
experiment No = 8886, UNSAT, testing length = 225
experiment No = 8887, UNSAT, testing length = 225
experiment No = 8888, UNSAT, testing length = 225
experiment No = 8889, UNSAT, testing length = 225
experiment No = 8890, UNSAT, testing length = 225
experiment No = 8891, UNSAT, testing length = 225
experiment No = 8892, UNSAT, testing length = 225
experiment No = 8893, UNSAT, testing length = 225
experiment No = 8894, UNSAT, testing length = 225
experiment No = 8895, UNSAT, testing length = 225
experiment No = 8896, UNSAT, testing length = 225
experiment No = 8897, UNSAT, testing length = 225
experiment No = 8898, UNSAT, testing length = 225
experiment No = 8899, UNSAT, testing length = 225
experiment No = 8900, UNSAT, testing length = 225
experiment No = 8901, UNSAT, testing length = 225
experiment No = 8902, UNSAT, testing length = 225
experiment No = 8903, UNSAT, testing length = 225
experiment No = 8904, UNSAT, testing length = 225
experiment No = 8905, UNSAT, testing length = 225
experiment No = 8906, UNSAT, testing length = 225
experiment No = 8907, UNSAT, testing length = 225
experiment No = 8908, UNSAT, testing length = 225
experiment No = 8909, UNSAT, testing length = 225
experiment No = 8910, UNSAT, testing length = 225
experiment No = 8911, UNSAT, testing length = 225
experiment No = 8912, UNSAT, testing length = 225
experiment No = 8913, UNSAT, testing length = 225
experiment No = 8914, UNSAT, testing length = 225
experiment No = 8915, UNSAT, testing length = 225
experiment No = 8916, UNSAT, testing length = 225
experiment No = 8917, UNSAT, testing length = 225
experiment No = 8918, UNSAT, testing length = 225
experiment No = 8919, UNSAT, testing length = 225
experiment No = 8920, UNSAT, testing length = 225
experiment No = 8921, UNSAT, testing length = 225
experiment No = 8922, UNSAT, testing length = 225
experiment No = 8923, UNSAT, testing length = 225
experiment No = 8924, UNSAT, testing length = 225
experiment No = 8925, UNSAT, testing length = 225
experiment No = 8926, UNSAT, testing length = 225
experiment No = 8927, UNSAT, testing length = 225
experiment No = 8928, UNSAT, testing length = 225
experiment No = 8929, UNSAT, testing length = 225
experiment No = 8930, UNSAT, testing length = 225
experiment No = 8931, UNSAT, testing length = 225
experiment No = 8932, UNSAT, testing length = 225
experiment No = 8933, UNSAT, testing length = 225
experiment No = 8934, UNSAT, testing length = 225
experiment No = 8935, UNSAT, testing length = 225
experiment No = 8936, UNSAT, testing length = 225
experiment No = 8937, UNSAT, testing length = 225
experiment No = 8938, UNSAT, testing length = 225
experiment No = 8939, UNSAT, testing length = 225
experiment No = 8940, UNSAT, testing length = 225
experiment No = 8941, UNSAT, testing length = 225
experiment No = 8942, UNSAT, testing length = 225
experiment No = 8943, UNSAT, testing length = 225
experiment No = 8944, UNSAT, testing length = 225
experiment No = 8945, UNSAT, testing length = 225
experiment No = 8946, UNSAT, testing length = 225
experiment No = 8947, UNSAT, testing length = 225
experiment No = 8948, UNSAT, testing length = 225
experiment No = 8949, UNSAT, testing length = 225
experiment No = 8950, UNSAT, testing length = 225
experiment No = 8951, UNSAT, testing length = 225
experiment No = 8952, UNSAT, testing length = 225
experiment No = 8953, UNSAT, testing length = 225
experiment No = 8954, UNSAT, testing length = 225
experiment No = 8955, UNSAT, testing length = 225
experiment No = 8956, UNSAT, testing length = 225
experiment No = 8957, UNSAT, testing length = 225
experiment No = 8958, UNSAT, testing length = 225
experiment No = 8959, UNSAT, testing length = 225
experiment No = 8960, UNSAT, testing length = 225
experiment No = 8961, UNSAT, testing length = 225
experiment No = 8962, UNSAT, testing length = 225
experiment No = 8963, UNSAT, testing length = 225
experiment No = 8964, UNSAT, testing length = 225
experiment No = 8965, UNSAT, testing length = 225
experiment No = 8966, UNSAT, testing length = 225
experiment No = 8967, UNSAT, testing length = 225
experiment No = 8968, UNSAT, testing length = 225
experiment No = 8969, UNSAT, testing length = 225
experiment No = 8970, UNSAT, testing length = 225
experiment No = 8971, UNSAT, testing length = 225
experiment No = 8972, UNSAT, testing length = 225
experiment No = 8973, UNSAT, testing length = 225
experiment No = 8974, UNSAT, testing length = 225
experiment No = 8975, UNSAT, testing length = 225
experiment No = 8976, UNSAT, testing length = 225
experiment No = 8977, UNSAT, testing length = 225
experiment No = 8978, UNSAT, testing length = 225
experiment No = 8979, UNSAT, testing length = 225
experiment No = 8980, UNSAT, testing length = 225
experiment No = 8981, UNSAT, testing length = 225
experiment No = 8982, UNSAT, testing length = 225
experiment No = 8983, UNSAT, testing length = 225
experiment No = 8984, UNSAT, testing length = 225
experiment No = 8985, UNSAT, testing length = 225
experiment No = 8986, UNSAT, testing length = 225
experiment No = 8987, UNSAT, testing length = 225
experiment No = 8988, UNSAT, testing length = 225
experiment No = 8989, UNSAT, testing length = 225
experiment No = 8990, UNSAT, testing length = 225
experiment No = 8991, UNSAT, testing length = 225
experiment No = 8992, UNSAT, testing length = 225
experiment No = 8993, UNSAT, testing length = 225
experiment No = 8994, UNSAT, testing length = 225
experiment No = 8995, UNSAT, testing length = 225
experiment No = 8996, UNSAT, testing length = 225
experiment No = 8997, UNSAT, testing length = 225
experiment No = 8998, UNSAT, testing length = 225
experiment No = 8999, UNSAT, testing length = 225
experiment No = 9000, UNSAT, testing length = 225
experiment No = 9001, UNSAT, testing length = 225
experiment No = 9002, UNSAT, testing length = 225
experiment No = 9003, UNSAT, testing length = 225
experiment No = 9004, UNSAT, testing length = 225
experiment No = 9005, UNSAT, testing length = 225
experiment No = 9006, UNSAT, testing length = 225
experiment No = 9007, UNSAT, testing length = 225
experiment No = 9008, UNSAT, testing length = 225
experiment No = 9009, UNSAT, testing length = 225
experiment No = 9010, UNSAT, testing length = 225
experiment No = 9011, UNSAT, testing length = 225
experiment No = 9012, UNSAT, testing length = 225
experiment No = 9013, UNSAT, testing length = 225
experiment No = 9014, UNSAT, testing length = 225
experiment No = 9015, UNSAT, testing length = 225
experiment No = 9016, UNSAT, testing length = 225
experiment No = 9017, UNSAT, testing length = 225
experiment No = 9018, UNSAT, testing length = 225
experiment No = 9019, UNSAT, testing length = 225
experiment No = 9020, UNSAT, testing length = 225
experiment No = 9021, UNSAT, testing length = 225
experiment No = 9022, UNSAT, testing length = 225
experiment No = 9023, UNSAT, testing length = 225
experiment No = 9024, UNSAT, testing length = 225
experiment No = 9025, UNSAT, testing length = 225
experiment No = 9026, UNSAT, testing length = 225
experiment No = 9027, UNSAT, testing length = 225
experiment No = 9028, UNSAT, testing length = 225
experiment No = 9029, UNSAT, testing length = 225
experiment No = 9030, UNSAT, testing length = 225
experiment No = 9031, UNSAT, testing length = 225
experiment No = 9032, UNSAT, testing length = 225
experiment No = 9033, UNSAT, testing length = 225
experiment No = 9034, UNSAT, testing length = 225
experiment No = 9035, UNSAT, testing length = 225
experiment No = 9036, UNSAT, testing length = 225
experiment No = 9037, UNSAT, testing length = 225
experiment No = 9038, UNSAT, testing length = 225
experiment No = 9039, UNSAT, testing length = 225
experiment No = 9040, UNSAT, testing length = 225
experiment No = 9041, UNSAT, testing length = 225
experiment No = 9042, UNSAT, testing length = 225
experiment No = 9043, UNSAT, testing length = 225
experiment No = 9044, UNSAT, testing length = 225
experiment No = 9045, UNSAT, testing length = 225
experiment No = 9046, UNSAT, testing length = 225
experiment No = 9047, UNSAT, testing length = 225
experiment No = 9048, UNSAT, testing length = 225
experiment No = 9049, UNSAT, testing length = 225
experiment No = 9050, UNSAT, testing length = 225
experiment No = 9051, UNSAT, testing length = 225
experiment No = 9052, UNSAT, testing length = 225
experiment No = 9053, UNSAT, testing length = 225
experiment No = 9054, UNSAT, testing length = 225
experiment No = 9055, UNSAT, testing length = 225
experiment No = 9056, UNSAT, testing length = 225
experiment No = 9057, UNSAT, testing length = 225
experiment No = 9058, UNSAT, testing length = 225
experiment No = 9059, UNSAT, testing length = 225
experiment No = 9060, UNSAT, testing length = 225
experiment No = 9061, UNSAT, testing length = 225
experiment No = 9062, UNSAT, testing length = 225
experiment No = 9063, UNSAT, testing length = 225
experiment No = 9064, UNSAT, testing length = 225
experiment No = 9065, UNSAT, testing length = 225
experiment No = 9066, UNSAT, testing length = 225
experiment No = 9067, UNSAT, testing length = 225
experiment No = 9068, UNSAT, testing length = 225
experiment No = 9069, UNSAT, testing length = 225
experiment No = 9070, UNSAT, testing length = 225
experiment No = 9071, UNSAT, testing length = 225
experiment No = 9072, UNSAT, testing length = 225
experiment No = 9073, UNSAT, testing length = 225
experiment No = 9074, UNSAT, testing length = 225
experiment No = 9075, UNSAT, testing length = 225
experiment No = 9076, UNSAT, testing length = 225
experiment No = 9077, UNSAT, testing length = 225
experiment No = 9078, UNSAT, testing length = 225
experiment No = 9079, UNSAT, testing length = 225
experiment No = 9080, UNSAT, testing length = 225
experiment No = 9081, UNSAT, testing length = 225
experiment No = 9082, UNSAT, testing length = 225
experiment No = 9083, UNSAT, testing length = 225
experiment No = 9084, UNSAT, testing length = 225
experiment No = 9085, UNSAT, testing length = 225
experiment No = 9086, UNSAT, testing length = 225
experiment No = 9087, UNSAT, testing length = 225
experiment No = 9088, UNSAT, testing length = 225
experiment No = 9089, UNSAT, testing length = 225
experiment No = 9090, UNSAT, testing length = 225
experiment No = 9091, UNSAT, testing length = 225
experiment No = 9092, UNSAT, testing length = 225
experiment No = 9093, UNSAT, testing length = 225
experiment No = 9094, UNSAT, testing length = 225
experiment No = 9095, UNSAT, testing length = 225
experiment No = 9096, UNSAT, testing length = 225
experiment No = 9097, UNSAT, testing length = 225
experiment No = 9098, UNSAT, testing length = 225
experiment No = 9099, UNSAT, testing length = 225
experiment No = 9100, UNSAT, testing length = 225
experiment No = 9101, UNSAT, testing length = 225
experiment No = 9102, UNSAT, testing length = 225
experiment No = 9103, UNSAT, testing length = 225
experiment No = 9104, UNSAT, testing length = 225
experiment No = 9105, UNSAT, testing length = 225
experiment No = 9106, UNSAT, testing length = 225
experiment No = 9107, UNSAT, testing length = 225
experiment No = 9108, UNSAT, testing length = 225
experiment No = 9109, UNSAT, testing length = 225
experiment No = 9110, UNSAT, testing length = 225
experiment No = 9111, UNSAT, testing length = 225
experiment No = 9112, UNSAT, testing length = 225
experiment No = 9113, UNSAT, testing length = 225
experiment No = 9114, UNSAT, testing length = 225
experiment No = 9115, UNSAT, testing length = 225
experiment No = 9116, UNSAT, testing length = 225
experiment No = 9117, UNSAT, testing length = 225
experiment No = 9118, UNSAT, testing length = 225
experiment No = 9119, UNSAT, testing length = 225
experiment No = 9120, UNSAT, testing length = 225
experiment No = 9121, UNSAT, testing length = 225
experiment No = 9122, UNSAT, testing length = 225
experiment No = 9123, UNSAT, testing length = 225
experiment No = 9124, UNSAT, testing length = 225
experiment No = 9125, UNSAT, testing length = 225
experiment No = 9126, UNSAT, testing length = 225
experiment No = 9127, UNSAT, testing length = 225
experiment No = 9128, UNSAT, testing length = 225
experiment No = 9129, UNSAT, testing length = 225
experiment No = 9130, UNSAT, testing length = 225
experiment No = 9131, UNSAT, testing length = 225
experiment No = 9132, UNSAT, testing length = 225
experiment No = 9133, UNSAT, testing length = 225
experiment No = 9134, UNSAT, testing length = 225
experiment No = 9135, UNSAT, testing length = 225
experiment No = 9136, UNSAT, testing length = 225
experiment No = 9137, UNSAT, testing length = 225
experiment No = 9138, UNSAT, testing length = 225
experiment No = 9139, UNSAT, testing length = 225
experiment No = 9140, SAT, shortest length = 9
experiment No = 9141, UNSAT, testing length = 225
experiment No = 9142, UNSAT, testing length = 225
experiment No = 9143, UNSAT, testing length = 225
experiment No = 9144, UNSAT, testing length = 225
experiment No = 9145, UNSAT, testing length = 225
experiment No = 9146, UNSAT, testing length = 225
experiment No = 9147, UNSAT, testing length = 225
experiment No = 9148, UNSAT, testing length = 225
experiment No = 9149, UNSAT, testing length = 225
experiment No = 9150, UNSAT, testing length = 225
experiment No = 9151, UNSAT, testing length = 225
experiment No = 9152, UNSAT, testing length = 225
experiment No = 9153, UNSAT, testing length = 225
experiment No = 9154, UNSAT, testing length = 225
experiment No = 9155, UNSAT, testing length = 225
experiment No = 9156, UNSAT, testing length = 225
experiment No = 9157, UNSAT, testing length = 225
experiment No = 9158, UNSAT, testing length = 225
experiment No = 9159, UNSAT, testing length = 225
experiment No = 9160, UNSAT, testing length = 225
experiment No = 9161, UNSAT, testing length = 225
experiment No = 9162, UNSAT, testing length = 225
experiment No = 9163, UNSAT, testing length = 225
experiment No = 9164, UNSAT, testing length = 225
experiment No = 9165, UNSAT, testing length = 225
experiment No = 9166, UNSAT, testing length = 225
experiment No = 9167, UNSAT, testing length = 225
experiment No = 9168, UNSAT, testing length = 225
experiment No = 9169, UNSAT, testing length = 225
experiment No = 9170, UNSAT, testing length = 225
experiment No = 9171, UNSAT, testing length = 225
experiment No = 9172, UNSAT, testing length = 225
experiment No = 9173, UNSAT, testing length = 225
experiment No = 9174, UNSAT, testing length = 225
experiment No = 9175, UNSAT, testing length = 225
experiment No = 9176, UNSAT, testing length = 225
experiment No = 9177, UNSAT, testing length = 225
experiment No = 9178, UNSAT, testing length = 225
experiment No = 9179, UNSAT, testing length = 225
experiment No = 9180, UNSAT, testing length = 225
experiment No = 9181, UNSAT, testing length = 225
experiment No = 9182, UNSAT, testing length = 225
experiment No = 9183, UNSAT, testing length = 225
experiment No = 9184, UNSAT, testing length = 225
experiment No = 9185, UNSAT, testing length = 225
experiment No = 9186, UNSAT, testing length = 225
experiment No = 9187, UNSAT, testing length = 225
experiment No = 9188, UNSAT, testing length = 225
experiment No = 9189, UNSAT, testing length = 225
experiment No = 9190, UNSAT, testing length = 225
experiment No = 9191, UNSAT, testing length = 225
experiment No = 9192, UNSAT, testing length = 225
experiment No = 9193, UNSAT, testing length = 225
experiment No = 9194, UNSAT, testing length = 225
experiment No = 9195, UNSAT, testing length = 225
experiment No = 9196, UNSAT, testing length = 225
experiment No = 9197, UNSAT, testing length = 225
experiment No = 9198, UNSAT, testing length = 225
experiment No = 9199, UNSAT, testing length = 225
experiment No = 9200, UNSAT, testing length = 225
experiment No = 9201, UNSAT, testing length = 225
experiment No = 9202, UNSAT, testing length = 225
experiment No = 9203, UNSAT, testing length = 225
experiment No = 9204, UNSAT, testing length = 225
experiment No = 9205, UNSAT, testing length = 225
experiment No = 9206, UNSAT, testing length = 225
experiment No = 9207, UNSAT, testing length = 225
experiment No = 9208, UNSAT, testing length = 225
experiment No = 9209, UNSAT, testing length = 225
experiment No = 9210, UNSAT, testing length = 225
experiment No = 9211, UNSAT, testing length = 225
experiment No = 9212, UNSAT, testing length = 225
experiment No = 9213, UNSAT, testing length = 225
experiment No = 9214, UNSAT, testing length = 225
experiment No = 9215, UNSAT, testing length = 225
experiment No = 9216, UNSAT, testing length = 225
experiment No = 9217, UNSAT, testing length = 225
experiment No = 9218, UNSAT, testing length = 225
experiment No = 9219, UNSAT, testing length = 225
experiment No = 9220, UNSAT, testing length = 225
experiment No = 9221, UNSAT, testing length = 225
experiment No = 9222, UNSAT, testing length = 225
experiment No = 9223, UNSAT, testing length = 225
experiment No = 9224, UNSAT, testing length = 225
experiment No = 9225, UNSAT, testing length = 225
experiment No = 9226, UNSAT, testing length = 225
experiment No = 9227, UNSAT, testing length = 225
experiment No = 9228, UNSAT, testing length = 225
experiment No = 9229, UNSAT, testing length = 225
experiment No = 9230, UNSAT, testing length = 225
experiment No = 9231, UNSAT, testing length = 225
experiment No = 9232, UNSAT, testing length = 225
experiment No = 9233, UNSAT, testing length = 225
experiment No = 9234, UNSAT, testing length = 225
experiment No = 9235, UNSAT, testing length = 225
experiment No = 9236, UNSAT, testing length = 225
experiment No = 9237, UNSAT, testing length = 225
experiment No = 9238, UNSAT, testing length = 225
experiment No = 9239, UNSAT, testing length = 225
experiment No = 9240, UNSAT, testing length = 225
experiment No = 9241, UNSAT, testing length = 225
experiment No = 9242, UNSAT, testing length = 225
experiment No = 9243, UNSAT, testing length = 225
experiment No = 9244, UNSAT, testing length = 225
experiment No = 9245, UNSAT, testing length = 225
experiment No = 9246, UNSAT, testing length = 225
experiment No = 9247, UNSAT, testing length = 225
experiment No = 9248, UNSAT, testing length = 225
experiment No = 9249, UNSAT, testing length = 225
experiment No = 9250, UNSAT, testing length = 225
experiment No = 9251, UNSAT, testing length = 225
experiment No = 9252, UNSAT, testing length = 225
experiment No = 9253, UNSAT, testing length = 225
experiment No = 9254, UNSAT, testing length = 225
experiment No = 9255, UNSAT, testing length = 225
experiment No = 9256, UNSAT, testing length = 225
experiment No = 9257, UNSAT, testing length = 225
experiment No = 9258, UNSAT, testing length = 225
experiment No = 9259, UNSAT, testing length = 225
experiment No = 9260, UNSAT, testing length = 225
experiment No = 9261, UNSAT, testing length = 225
experiment No = 9262, UNSAT, testing length = 225
experiment No = 9263, UNSAT, testing length = 225
experiment No = 9264, UNSAT, testing length = 225
experiment No = 9265, UNSAT, testing length = 225
experiment No = 9266, UNSAT, testing length = 225
experiment No = 9267, UNSAT, testing length = 225
experiment No = 9268, UNSAT, testing length = 225
experiment No = 9269, UNSAT, testing length = 225
experiment No = 9270, UNSAT, testing length = 225
experiment No = 9271, UNSAT, testing length = 225
experiment No = 9272, UNSAT, testing length = 225
experiment No = 9273, UNSAT, testing length = 225
experiment No = 9274, UNSAT, testing length = 225
experiment No = 9275, UNSAT, testing length = 225
experiment No = 9276, UNSAT, testing length = 225
experiment No = 9277, UNSAT, testing length = 225
experiment No = 9278, UNSAT, testing length = 225
experiment No = 9279, UNSAT, testing length = 225
experiment No = 9280, UNSAT, testing length = 225
experiment No = 9281, UNSAT, testing length = 225
experiment No = 9282, UNSAT, testing length = 225
experiment No = 9283, UNSAT, testing length = 225
experiment No = 9284, UNSAT, testing length = 225
experiment No = 9285, UNSAT, testing length = 225
experiment No = 9286, UNSAT, testing length = 225
experiment No = 9287, UNSAT, testing length = 225
experiment No = 9288, UNSAT, testing length = 225
experiment No = 9289, UNSAT, testing length = 225
experiment No = 9290, UNSAT, testing length = 225
experiment No = 9291, UNSAT, testing length = 225
experiment No = 9292, UNSAT, testing length = 225
experiment No = 9293, UNSAT, testing length = 225
experiment No = 9294, UNSAT, testing length = 225
experiment No = 9295, UNSAT, testing length = 225
experiment No = 9296, UNSAT, testing length = 225
experiment No = 9297, UNSAT, testing length = 225
experiment No = 9298, UNSAT, testing length = 225
experiment No = 9299, UNSAT, testing length = 225
experiment No = 9300, UNSAT, testing length = 225
experiment No = 9301, UNSAT, testing length = 225
experiment No = 9302, UNSAT, testing length = 225
experiment No = 9303, UNSAT, testing length = 225
experiment No = 9304, UNSAT, testing length = 225
experiment No = 9305, UNSAT, testing length = 225
experiment No = 9306, UNSAT, testing length = 225
experiment No = 9307, UNSAT, testing length = 225
experiment No = 9308, UNSAT, testing length = 225
experiment No = 9309, UNSAT, testing length = 225
experiment No = 9310, UNSAT, testing length = 225
experiment No = 9311, UNSAT, testing length = 225
experiment No = 9312, UNSAT, testing length = 225
experiment No = 9313, UNSAT, testing length = 225
experiment No = 9314, UNSAT, testing length = 225
experiment No = 9315, UNSAT, testing length = 225
experiment No = 9316, UNSAT, testing length = 225
experiment No = 9317, UNSAT, testing length = 225
experiment No = 9318, UNSAT, testing length = 225
experiment No = 9319, UNSAT, testing length = 225
experiment No = 9320, UNSAT, testing length = 225
experiment No = 9321, UNSAT, testing length = 225
experiment No = 9322, UNSAT, testing length = 225
experiment No = 9323, UNSAT, testing length = 225
experiment No = 9324, UNSAT, testing length = 225
experiment No = 9325, UNSAT, testing length = 225
experiment No = 9326, UNSAT, testing length = 225
experiment No = 9327, UNSAT, testing length = 225
experiment No = 9328, UNSAT, testing length = 225
experiment No = 9329, UNSAT, testing length = 225
experiment No = 9330, UNSAT, testing length = 225
experiment No = 9331, UNSAT, testing length = 225
experiment No = 9332, UNSAT, testing length = 225
experiment No = 9333, UNSAT, testing length = 225
experiment No = 9334, UNSAT, testing length = 225
experiment No = 9335, UNSAT, testing length = 225
experiment No = 9336, UNSAT, testing length = 225
experiment No = 9337, UNSAT, testing length = 225
experiment No = 9338, UNSAT, testing length = 225
experiment No = 9339, UNSAT, testing length = 225
experiment No = 9340, UNSAT, testing length = 225
experiment No = 9341, UNSAT, testing length = 225
experiment No = 9342, UNSAT, testing length = 225
experiment No = 9343, UNSAT, testing length = 225
experiment No = 9344, UNSAT, testing length = 225
experiment No = 9345, UNSAT, testing length = 225
experiment No = 9346, UNSAT, testing length = 225
experiment No = 9347, UNSAT, testing length = 225
experiment No = 9348, UNSAT, testing length = 225
experiment No = 9349, UNSAT, testing length = 225
experiment No = 9350, UNSAT, testing length = 225
experiment No = 9351, UNSAT, testing length = 225
experiment No = 9352, UNSAT, testing length = 225
experiment No = 9353, UNSAT, testing length = 225
experiment No = 9354, UNSAT, testing length = 225
experiment No = 9355, UNSAT, testing length = 225
experiment No = 9356, UNSAT, testing length = 225
experiment No = 9357, UNSAT, testing length = 225
experiment No = 9358, UNSAT, testing length = 225
experiment No = 9359, UNSAT, testing length = 225
experiment No = 9360, UNSAT, testing length = 225
experiment No = 9361, UNSAT, testing length = 225
experiment No = 9362, UNSAT, testing length = 225
experiment No = 9363, UNSAT, testing length = 225
experiment No = 9364, UNSAT, testing length = 225
experiment No = 9365, UNSAT, testing length = 225
experiment No = 9366, UNSAT, testing length = 225
experiment No = 9367, UNSAT, testing length = 225
experiment No = 9368, UNSAT, testing length = 225
experiment No = 9369, UNSAT, testing length = 225
experiment No = 9370, UNSAT, testing length = 225
experiment No = 9371, UNSAT, testing length = 225
experiment No = 9372, UNSAT, testing length = 225
experiment No = 9373, UNSAT, testing length = 225
experiment No = 9374, UNSAT, testing length = 225
experiment No = 9375, UNSAT, testing length = 225
experiment No = 9376, UNSAT, testing length = 225
experiment No = 9377, UNSAT, testing length = 225
experiment No = 9378, UNSAT, testing length = 225
experiment No = 9379, UNSAT, testing length = 225
experiment No = 9380, UNSAT, testing length = 225
experiment No = 9381, UNSAT, testing length = 225
experiment No = 9382, UNSAT, testing length = 225
experiment No = 9383, UNSAT, testing length = 225
experiment No = 9384, UNSAT, testing length = 225
experiment No = 9385, UNSAT, testing length = 225
experiment No = 9386, UNSAT, testing length = 225
experiment No = 9387, UNSAT, testing length = 225
experiment No = 9388, UNSAT, testing length = 225
experiment No = 9389, UNSAT, testing length = 225
experiment No = 9390, UNSAT, testing length = 225
experiment No = 9391, UNSAT, testing length = 225
experiment No = 9392, UNSAT, testing length = 225
experiment No = 9393, UNSAT, testing length = 225
experiment No = 9394, UNSAT, testing length = 225
experiment No = 9395, UNSAT, testing length = 225
experiment No = 9396, UNSAT, testing length = 225
experiment No = 9397, UNSAT, testing length = 225
experiment No = 9398, UNSAT, testing length = 225
experiment No = 9399, UNSAT, testing length = 225
experiment No = 9400, UNSAT, testing length = 225
experiment No = 9401, UNSAT, testing length = 225
experiment No = 9402, UNSAT, testing length = 225
experiment No = 9403, UNSAT, testing length = 225
experiment No = 9404, UNSAT, testing length = 225
experiment No = 9405, UNSAT, testing length = 225
experiment No = 9406, UNSAT, testing length = 225
experiment No = 9407, UNSAT, testing length = 225
experiment No = 9408, UNSAT, testing length = 225
experiment No = 9409, UNSAT, testing length = 225
experiment No = 9410, UNSAT, testing length = 225
experiment No = 9411, UNSAT, testing length = 225
experiment No = 9412, UNSAT, testing length = 225
experiment No = 9413, UNSAT, testing length = 225
experiment No = 9414, UNSAT, testing length = 225
experiment No = 9415, UNSAT, testing length = 225
experiment No = 9416, UNSAT, testing length = 225
experiment No = 9417, UNSAT, testing length = 225
experiment No = 9418, UNSAT, testing length = 225
experiment No = 9419, UNSAT, testing length = 225
experiment No = 9420, UNSAT, testing length = 225
experiment No = 9421, UNSAT, testing length = 225
experiment No = 9422, UNSAT, testing length = 225
experiment No = 9423, UNSAT, testing length = 225
experiment No = 9424, UNSAT, testing length = 225
experiment No = 9425, UNSAT, testing length = 225
experiment No = 9426, UNSAT, testing length = 225
experiment No = 9427, UNSAT, testing length = 225
experiment No = 9428, UNSAT, testing length = 225
experiment No = 9429, UNSAT, testing length = 225
experiment No = 9430, UNSAT, testing length = 225
experiment No = 9431, UNSAT, testing length = 225
experiment No = 9432, UNSAT, testing length = 225
experiment No = 9433, UNSAT, testing length = 225
experiment No = 9434, UNSAT, testing length = 225
experiment No = 9435, UNSAT, testing length = 225
experiment No = 9436, UNSAT, testing length = 225
experiment No = 9437, UNSAT, testing length = 225
experiment No = 9438, UNSAT, testing length = 225
experiment No = 9439, UNSAT, testing length = 225
experiment No = 9440, UNSAT, testing length = 225
experiment No = 9441, UNSAT, testing length = 225
experiment No = 9442, UNSAT, testing length = 225
experiment No = 9443, UNSAT, testing length = 225
experiment No = 9444, UNSAT, testing length = 225
experiment No = 9445, UNSAT, testing length = 225
experiment No = 9446, UNSAT, testing length = 225
experiment No = 9447, UNSAT, testing length = 225
experiment No = 9448, UNSAT, testing length = 225
experiment No = 9449, UNSAT, testing length = 225
experiment No = 9450, UNSAT, testing length = 225
experiment No = 9451, UNSAT, testing length = 225
experiment No = 9452, UNSAT, testing length = 225
experiment No = 9453, UNSAT, testing length = 225
experiment No = 9454, UNSAT, testing length = 225
experiment No = 9455, UNSAT, testing length = 225
experiment No = 9456, UNSAT, testing length = 225
experiment No = 9457, UNSAT, testing length = 225
experiment No = 9458, UNSAT, testing length = 225
experiment No = 9459, UNSAT, testing length = 225
experiment No = 9460, UNSAT, testing length = 225
experiment No = 9461, UNSAT, testing length = 225
experiment No = 9462, UNSAT, testing length = 225
experiment No = 9463, UNSAT, testing length = 225
experiment No = 9464, UNSAT, testing length = 225
experiment No = 9465, UNSAT, testing length = 225
experiment No = 9466, UNSAT, testing length = 225
experiment No = 9467, UNSAT, testing length = 225
experiment No = 9468, UNSAT, testing length = 225
experiment No = 9469, UNSAT, testing length = 225
experiment No = 9470, UNSAT, testing length = 225
experiment No = 9471, UNSAT, testing length = 225
experiment No = 9472, UNSAT, testing length = 225
experiment No = 9473, UNSAT, testing length = 225
experiment No = 9474, UNSAT, testing length = 225
experiment No = 9475, UNSAT, testing length = 225
experiment No = 9476, UNSAT, testing length = 225
experiment No = 9477, UNSAT, testing length = 225
experiment No = 9478, UNSAT, testing length = 225
experiment No = 9479, UNSAT, testing length = 225
experiment No = 9480, UNSAT, testing length = 225
experiment No = 9481, UNSAT, testing length = 225
experiment No = 9482, UNSAT, testing length = 225
experiment No = 9483, UNSAT, testing length = 225
experiment No = 9484, UNSAT, testing length = 225
experiment No = 9485, UNSAT, testing length = 225
experiment No = 9486, UNSAT, testing length = 225
experiment No = 9487, UNSAT, testing length = 225
experiment No = 9488, UNSAT, testing length = 225
experiment No = 9489, UNSAT, testing length = 225
experiment No = 9490, UNSAT, testing length = 225
experiment No = 9491, UNSAT, testing length = 225
experiment No = 9492, UNSAT, testing length = 225
experiment No = 9493, UNSAT, testing length = 225
experiment No = 9494, UNSAT, testing length = 225
experiment No = 9495, UNSAT, testing length = 225
experiment No = 9496, UNSAT, testing length = 225
experiment No = 9497, UNSAT, testing length = 225
experiment No = 9498, UNSAT, testing length = 225
experiment No = 9499, UNSAT, testing length = 225
experiment No = 9500, UNSAT, testing length = 225
experiment No = 9501, UNSAT, testing length = 225
experiment No = 9502, UNSAT, testing length = 225
experiment No = 9503, UNSAT, testing length = 225
experiment No = 9504, UNSAT, testing length = 225
